Royse City, TX,44,Cloudy/Wind,NNW 26 mph gusts to 35 mph
Rule, TX,37,Mostly Cloudy/Wind,NNW 19 mph gusts to 28 mph
Runge, TX,69,Cloudy,N 20 mph 
Rusk, TX,63,Cloudy,NW 14 mph 
Rye, TX,67,Cloudy,WSW 11 mph 
Sabinal, TX,60,Mostly Cloudy,N 21 mph 
Sabine Pass, TX,63,Cloudy,S 18 mph gusts to 18 mph
Sacul, TX,65,Rain Shower,WNW 13 mph 
Sadler, TX,36,Cloudy/Wind,NNW 20 mph gusts to 33 mph
Saint Hedwig, TX,64,Cloudy,N 19 mph 
Saint Jo, TX,35,Cloudy,NNW 19 mph gusts to 31 mph
Salado, TX,58,Cloudy,NNW 24 mph gusts to 25 mph
Salineno, TX,72,Mostly Cloudy,NNW 21 mph 
Salt Flat, TX,38,Partly Cloudy/Wind,ENE 22 mph gusts to 31 mph
Saltillo, TX,59,Rain,NW 20 mph 
Sam Norwood, TX,25,Clear,NNW 17 mph 
San Angelo, TX,43,Rain Shower/Wind,NNW 22 mph gusts to 32 mph
